text,start,end
"Unknown date",,
"June",06-01,06-30
"July 15",07-15,
"Unknown dates",,
"Unknown date, Jan.",01-01,01-30
"May 27",05-27,
"Oct. 17",10-17,
"Nov. 9",11-09,
"Nov. 10",11-10,
"Nov. 21",11-21,
"Various dates",
"February",02-01,02-28
"Feb. 23",02-23,
"March 6",03-06,
"March 24",03-24,
"October",10-01,10-31
"November",11-01,11-30
"January",01-01,01-31
"March 15",03-15,
"April and May",04-01,05-31
"April 8",04-08,
"April 23",04-23
"Unknown date in June",06-01,06-30
"June, date unknown",06-01,06-30
"June 16",06-16
"July 11",07-11
"July 25",07-25
"August",08-01,08-31
"August",08-01,08-31
"Aug. 4",08-04
"Aug. 8",08-08
"Aug. 21",08-21
"September",09-01,09-30
"Nov. 15",10-15,
"Dec. 2",12-02
"Dec. 10",12-10
"Dec. 17",12-17
"Late  2015",,
"Jan.14 and Jan.16",01-14,01-16
"Jan. 20",01-20,
"Jan. 21",01-21,
"Feb. 1",02-01,
"Feb. 26",02-26,
"Feb. 28",02-28,
"Feb. 29",02-29,
"Early March",03-01,03-15
"March 3",03-03,
"March 14",03-14
"March15",03-15
"March (date unknown)",03-01,03-31
"March 17",03-17
"March 19",03-19
"March 21",03-21
"March 22",03-22
"March 28",03-28
"March 31",03-31
"Unknown date April-Nov.",,
"April, dates unknown",04-01,04-30
"Early April",04-01,04-15
"April 6",04-06,
"April 10-11",04-10,04-11
"April 18",04-18,
"April 19",04-19
"April 20",04-20
"April 22",04-22
"Late April",04-15,04-30
"April 25",04-25
"April 26",04-26
"April 27",04-27
"Unknown dates, 2016",,
"May, unknown date",05-01,05-31
"May 4",05-04
"May 5",05-05
"May 13-14",05-13,05-14
"May 18",05-18,
"May 19",05-19,
"May 21",05-21,
"May 26",05-26,
"June or July, dates unknown",06-01,07-31
"Early June",06-01,06-15
"June, dates unknown",06-01,06-30
"June 1",06-01,
"June 3",06-3,
"June 7",06-7,
"June 8",06-8,
"June 9",06-9,
"June 10",06-10,
"June 14",06-14,
"June 15",06-15,
"June 17",06-17,
"June 19",06-19,
"June 20",06-20,
"June 21",06-21,
"June 22",06-22,
"June 23",06-23,
"June 24",06-24,
"June 28",06-28,
"Early July",06-01,06-15
"July 5",07-05,
"July 7",07-07,
"July 14",07-14,
"July 15",07-15,
"July 18 - 21",07-18,07-21
"July 22",07-22
"July 24",07-24
"July 25 to 28",07-25,07-28
"July 27",07-27,
"July 31",07-31
"Aug. unknown date",08-01,08-31
"Aug.2",08-02,
"Aug. 3",08-03,
"Aug. 5",08-05,
"Aug.  6",08-06,
"Aug. 9",08-09,
"Date unknown",,
"Aug. 12",08-12,
"Aug. 15",08-15
"Aug. 15 - Sep. 9",08-15,09-09
"Aug. 19",08-19,
"Aug. 22",08-22,
"Aug. 24",08-24,
"Aug26",08-26,
"Aug. 27",08-27
"In or after August",,
"Late August or Early Sept.",08-20,09-15
"September, dates unknown",09-01,09-15
"Sept. 5",09-5,
"Sept. 8",09-8
"Sept. 13",09-13
"On or near Sept. 16",09-16
"Sept. 20",09-20
"Sept. 21",09-21
"Sept. 24",09-24
"Sept. 25",09-25
"Sept. 26",09-26
"Late Sept.",09-15,09-30
"Oct. 2",10-2
"Oct. 3",10-3
"Oct. 4",10-4
"Oct. 7",10-7
"Oct. 9",10-9
"Oct.10",10-10
"Oct. 11",10-11
"Oct. 12",10-12
"Oct. 14",10-14
"Oct. 19",10-19
"Oct. 27",10-27
"Oct. 28",10-28
"Oct. 31",10-31
"Nov. 1",11-1
"Nov. 6",11-6
"Nov. 8",11-8
"Nov. 10",11-10
"Nov. 11",11-11
"Nov. 15",11-15
"Nov. 17",11-17
"Nov. 28",11-28
"Nov. 30",11-30
"Late November",11-15,11-30
"Dec. 1 or 2",12-01,12-02
"Unknown date, December",12-01,12-31
"Dec. 8",12-8
"Dec.9",12-9
"Dec. 10",12-10
"Dec. 12",12-12
"Dec. 13 or 14",12-13,12-14
"Dec. 15",12-15
"Dec. 21",12-21
"Dec. 25",12-25
"Dec. 26",12-26
"Dec. 29",12-29
"Dec. 30",12-30
"January - August, unknown dates",,
"Jan. 4",01-4
"Jan. 6",01-6
"Jan. 9",01-9
"Jan. 10",01-10
"Jan. 11",01-11
"Jan.12",01-12
"Jan. 15",01-15
"Jan. 16",01-16
"Jan. 17",01-17
"Jan. 18",01-18
"Jan. 19",01-19
"Jan. 22",01-22
"Jan. 24",01-24
"Jan. 25",01-25
"Jan. 26",01-26
"Jan. 27",01-27
"Jan. 28",01-28
"Jan. 30",01-30
"Feb. 2",02-2
"Feb. 6",02-6
"Feb. 8",02-8
"Feb. 9",02-9
"Feb 11",02-11
"Feb. 13",02-13
"Feb. 14",02-14
"Feb. 15",02-15
"Feb. 16",02-16
"Feb. 17",02-17
"Mid to late February",02-10,02-28
"Feb. 27",02-27
"March 1",03-01
"March 2",03-2
"March 4",03-4
"March 5",03-5
"March 7",03-7
"March",03-01,03-31
"March 20",03-20
"March 30",03-30
"April 6",04-6
"April 11",04-11
"April 12",04-12
"Mid-April",04-10,04-20
"April 28",04-28
"May 2",05-2
"May 3",05-3
"May 5",05-5
"May 8",05-8
"May 9",05-9
"May 10",05-10
"May 11",05-11
"May 12",05-12
"May 14",05-14
"Mid-May",05-10,05-20
"May 16",05-16
"May 17",05-17
"May 18",05-18
"May 23",05-23
"Summer, unknown date",
"June, unknown date",06-01,06-30
"June 6",06-6
"June 8",06-8
"June 12",06-12
"June 13",06-13
"June 18",06-18
"June 20",06-20
"June 25",06-25
"June 27",06-27
"July 7",07-7
"July 8",07-8
"July 9",07-9
"July 12",07-12
"July 16",07-16
"July 17",07-17
"July 19",07-19
"July 20",07-20
"July 21",07-21
"July 26",07-26
"July 28",07-28
"July 30",07-30
"August, unknown dates",08-01,08-31
"Aug. 1",08-1
"Aug. 2",08-2
"Aug.10",08-10
"Aug. 14",08-14
"Sept. 7",09-7
"Sept. 15",09-15
"Sept. 22",09-22
"Oct. 1",10-1
"Oct. 5",10-5
"Oct. 18",10-18
"Oct. 23",10-23
"Oct. 24",10-24
"Oct. 25",10-25
"Oct. 30",10-30
"Nov. 2",11-2
"Nov. 11",11-11
"Nov. 12",11-12
"Nov. 14",11-14
"Nov. 16",11-16
"Dec. 1",12-1
"Unnknown dates, over the next year",
"Jan. 4",01-4
"Jan. 8",01-08
"Mid- January",01-10,01-20
"Week of January 15",01-15,01-19
"Jan. 29",01-29
"Feb. 2",02-2
"Feb.16",02-16
"Feb. 22",02-22
"Feb. 24",02-24
"March 16",03-16
"March 18",03-18
"April 4",04-4
"April 9",04-9
"April 16",04-16
"April 17",04-17
"May 16",05-16
"May 17",05-17
"May 20",05-20
"May 24",05-24
"May 30",05-30
"May 31",05-31
"June 2",06-2
"June 4",06-4
"June 7",06-7
"June11",06-11
"July 13",07-13
"July 18",07-18
"August 1",08-1
"August 7",08-7
"August 17",08-17
"August 18",08-18
"August 19",08-19
"August 20",08-20
"August 21",08-21
"August 24",08-24
"August 29",08-29
"August 30",08-30
"Sept.11",09-11
"Sept. 12",09-12
"Sept. 14",09-14
"Sept. - Nov., unknown dates",09-01,11-30
"Sept. 17",09-17
"Sept. 20",09-20
"Sept. 28",09-29
"Oct. 26",10-26
"Nov. 7",11-07
"Nov. 8",11-08
"Nov. 19",11-19
"Nov. 26",11-26
"Nov. 29",11-29
"Dec. 4",12-04
"Dec. 7",12-07
"Feb. 19",02-19
"Feb. 21",02-21
"Mar. 22",03-22
"Mar. 24",03-24